date,source,region,province,price_vnd_per_kg,change_vnd_per_kg,source_url,benchmark_price_vnd_per_kg
06/03/2026,nongnghiepmoitruong.vn,Miền Bắc,Ninh Bình,63000,-1000.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-6-3-2026-tiep-tuc-da-di-xuong-d799565.html,
06/03/2026,nongnghiepmoitruong.vn,Miền Bắc,Phú Thọ,62000,-2000.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-6-3-2026-tiep-tuc-da-di-xuong-d799565.html,
06/03/2026,nongnghiepmoitruong.vn,Miền Bắc,Quảng Ninh,63000,-2000.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-6-3-2026-tiep-tuc-da-di-xuong-d799565.html,
06/03/2026,nongnghiepmoitruong.vn,Miền Bắc,Sơn La,63000,-1000.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-6-3-2026-tiep-tuc-da-di-xuong-d799565.html,
06/03/2026,nongnghiepmoitruong.vn,Miền Bắc,Thái Nguyên,62000,-2000.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-6-3-2026-tiep-tuc-da-di-xuong-d799565.html,
06/03/2026,nongnghiepmoitruong.vn,Miền Bắc,Tuyên Quang,63000,-1000.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-6-3-2026-tiep-tuc-da-di-xuong-d799565.html,
06/03/2026,nongnghiepmoitruong.vn,Miền Bắc,Điện Biên,63000,-2000.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-6-3-2026-tiep-tuc-da-di-xuong-d799565.html,
06/03/2026,nongnghiepmoitruong.vn,Miền Nam,An Giang,69000,0.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-6-3-2026-tiep-tuc-da-di-xuong-d799565.html,
06/03/2026,nongnghiepmoitruong.vn,Miền Nam,Cà Mau,68000,-1000.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-6-3-2026-tiep-tuc-da-di-xuong-d799565.html,
06/03/2026,nongnghiepmoitruong.vn,Miền Nam,Cần Thơ,68000,0.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-6-3-2026-tiep-tuc-da-di-xuong-d799565.html,
06/03/2026,nongnghiepmoitruong.vn,Miền Nam,TP.HCM,69000,-1000.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-6-3-2026-tiep-tuc-da-di-xuong-d799565.html,
06/03/2026,nongnghiepmoitruong.vn,Miền Nam,Tây Ninh,69000,-1000.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-6-3-2026-tiep-tuc-da-di-xuong-d799565.html,
06/03/2026,nongnghiepmoitruong.vn,Miền Nam,Vĩnh Long,68000,-1000.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-6-3-2026-tiep-tuc-da-di-xuong-d799565.html,
06/03/2026,nongnghiepmoitruong.vn,Miền Nam,Đồng Nai,69000,-1000.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-6-3-2026-tiep-tuc-da-di-xuong-d799565.html,
06/03/2026,nongnghiepmoitruong.vn,Miền Nam,Đồng Tháp,69000,0.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-6-3-2026-tiep-tuc-da-di-xuong-d799565.html,
06/03/2026,nongnghiepmoitruong.vn,Miền Trung - Tây Nguyên,Gia Lai,65000,-2000.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-6-3-2026-tiep-tuc-da-di-xuong-d799565.html,
06/03/2026,nongnghiepmoitruong.vn,Miền Trung - Tây Nguyên,Huế,67000,0.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-6-3-2026-tiep-tuc-da-di-xuong-d799565.html,
06/03/2026,nongnghiepmoitruong.vn,Miền Trung - Tây Nguyên,Hà Tĩnh,62000,-1000.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-6-3-2026-tiep-tuc-da-di-xuong-d799565.html,
06/03/2026,nongnghiepmoitruong.vn,Miền Trung - Tây Nguyên,Khánh Hòa,66000,-1000.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-6-3-2026-tiep-tuc-da-di-xuong-d799565.html,
06/03/2026,nongnghiepmoitruong.vn,Miền Trung - Tây Nguyên,Lâm Đồng,68000,-1000.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-6-3-2026-tiep-tuc-da-di-xuong-d799565.html,
06/03/2026,nongnghiepmoitruong.vn,Miền Trung - Tây Nguyên,Nghệ An,63000,-1000.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-6-3-2026-tiep-tuc-da-di-xuong-d799565.html,
06/03/2026,nongnghiepmoitruong.vn,Miền Trung - Tây Nguyên,Quảng Ngãi,66000,-1000.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-6-3-2026-tiep-tuc-da-di-xuong-d799565.html,
06/03/2026,nongnghiepmoitruong.vn,Miền Trung - Tây Nguyên,Quảng Trị,67000,0.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-6-3-2026-tiep-tuc-da-di-xuong-d799565.html,
06/03/2026,nongnghiepmoitruong.vn,Miền Trung - Tây Nguyên,Thanh Hóa,63000,-1000.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-6-3-2026-tiep-tuc-da-di-xuong-d799565.html,
06/03/2026,nongnghiepmoitruong.vn,Miền Trung - Tây Nguyên,Đà Nẵng,66000,-1000.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-6-3-2026-tiep-tuc-da-di-xuong-d799565.html,
06/03/2026,nongnghiepmoitruong.vn,Miền Trung - Tây Nguyên,Đắk Lắk,65000,-2000.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-6-3-2026-tiep-tuc-da-di-xuong-d799565.html,
08/03/2026,nongnghiepmoitruong.vn,Miền Bắc,Bắc Ninh,64000,-7000.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-8-3-2026-mot-tuan-giam-sau-d799741.html,
08/03/2026,nongnghiepmoitruong.vn,Miền Bắc,Cao Bằng,64000,-6000.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-8-3-2026-mot-tuan-giam-sau-d799741.html,
08/03/2026,nongnghiepmoitruong.vn,Miền Bắc,Hà Nội,64000,-6000.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-8-3-2026-mot-tuan-giam-sau-d799741.html,
08/03/2026,nongnghiepmoitruong.vn,Miền Bắc,Hưng Yên,63000,-7000.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-8-3-2026-mot-tuan-giam-sau-d799741.html,
08/03/2026,nongnghiepmoitruong.vn,Miền Bắc,Hải Phòng,63000,-7000.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-8-3-2026-mot-tuan-giam-sau-d799741.html,
08/03/2026,nongnghiepmoitruong.vn,Miền Bắc,Lai Châu,61000,-8000.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-8-3-2026-mot-tuan-giam-sau-d799741.html,
08/03/2026,nongnghiepmoitruong.vn,Miền Bắc,Lào Cai,62000,-7000.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-8-3-2026-mot-tuan-giam-sau-d799741.html,
08/03/2026,nongnghiepmoitruong.vn,Miền Bắc,Lạng Sơn,61000,-8000.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-8-3-2026-mot-tuan-giam-sau-d799741.html,
08/03/2026,nongnghiepmoitruong.vn,Miền Bắc,Ninh Bình,62000,-7000.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-8-3-2026-mot-tuan-giam-sau-d799741.html,
08/03/2026,nongnghiepmoitruong.vn,Miền Bắc,Phú Thọ,61000,-8000.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-8-3-2026-mot-tuan-giam-sau-d799741.html,
08/03/2026,nongnghiepmoitruong.vn,Miền Bắc,Quảng Ninh,62000,-8000.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-8-3-2026-mot-tuan-giam-sau-d799741.html,
08/03/2026,nongnghiepmoitruong.vn,Miền Bắc,Sơn La,63000,-6000.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-8-3-2026-mot-tuan-giam-sau-d799741.html,
08/03/2026,nongnghiepmoitruong.vn,Miền Bắc,Thái Nguyên,62000,-7000.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-8-3-2026-mot-tuan-giam-sau-d799741.html,
08/03/2026,nongnghiepmoitruong.vn,Miền Bắc,Tuyên Quang,62000,-7000.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-8-3-2026-mot-tuan-giam-sau-d799741.html,
08/03/2026,nongnghiepmoitruong.vn,Miền Bắc,Điện Biên,63000,-7000.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-8-3-2026-mot-tuan-giam-sau-d799741.html,
08/03/2026,nongnghiepmoitruong.vn,Miền Nam,An Giang,68000,-2000.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-8-3-2026-mot-tuan-giam-sau-d799741.html,
08/03/2026,nongnghiepmoitruong.vn,Miền Nam,Cà Mau,68000,-2000.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-8-3-2026-mot-tuan-giam-sau-d799741.html,
08/03/2026,nongnghiepmoitruong.vn,Miền Nam,Cần Thơ,67000,-2000.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-8-3-2026-mot-tuan-giam-sau-d799741.html,
08/03/2026,nongnghiepmoitruong.vn,Miền Nam,TP.HCM,69000,-3000.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-8-3-2026-mot-tuan-giam-sau-d799741.html,
08/03/2026,nongnghiepmoitruong.vn,Miền Nam,Tây Ninh,69000,-3000.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-8-3-2026-mot-tuan-giam-sau-d799741.html,
08/03/2026,nongnghiepmoitruong.vn,Miền Nam,Vĩnh Long,68000,-2000.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-8-3-2026-mot-tuan-giam-sau-d799741.html,
08/03/2026,nongnghiepmoitruong.vn,Miền Nam,Đồng Nai,69000,-3000.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-8-3-2026-mot-tuan-giam-sau-d799741.html,
08/03/2026,nongnghiepmoitruong.vn,Miền Nam,Đồng Tháp,68000,-3000.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-8-3-2026-mot-tuan-giam-sau-d799741.html,
08/03/2026,nongnghiepmoitruong.vn,Miền Trung - Tây Nguyên,Gia Lai,65000,-5000.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-8-3-2026-mot-tuan-giam-sau-d799741.html,
08/03/2026,nongnghiepmoitruong.vn,Miền Trung - Tây Nguyên,Huế,67000,-4000.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-8-3-2026-mot-tuan-giam-sau-d799741.html,
08/03/2026,nongnghiepmoitruong.vn,Miền Trung - Tây Nguyên,Hà Tĩnh,61000,-8000.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-8-3-2026-mot-tuan-giam-sau-d799741.html,
08/03/2026,nongnghiepmoitruong.vn,Miền Trung - Tây Nguyên,Khánh Hòa,66000,-4000.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-8-3-2026-mot-tuan-giam-sau-d799741.html,
08/03/2026,nongnghiepmoitruong.vn,Miền Trung - Tây Nguyên,Lâm Đồng,68000,-4000.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-8-3-2026-mot-tuan-giam-sau-d799741.html,
08/03/2026,nongnghiepmoitruong.vn,Miền Trung - Tây Nguyên,Nghệ An,62000,-7000.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-8-3-2026-mot-tuan-giam-sau-d799741.html,
08/03/2026,nongnghiepmoitruong.vn,Miền Trung - Tây Nguyên,Quảng Ngãi,66000,-5000.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-8-3-2026-mot-tuan-giam-sau-d799741.html,
08/03/2026,nongnghiepmoitruong.vn,Miền Trung - Tây Nguyên,Quảng Trị,67000,-4000.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-8-3-2026-mot-tuan-giam-sau-d799741.html,
08/03/2026,nongnghiepmoitruong.vn,Miền Trung - Tây Nguyên,Thanh Hóa,62000,-7000.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-8-3-2026-mot-tuan-giam-sau-d799741.html,
08/03/2026,nongnghiepmoitruong.vn,Miền Trung - Tây Nguyên,Đà Nẵng,66000,-5000.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-8-3-2026-mot-tuan-giam-sau-d799741.html,
08/03/2026,nongnghiepmoitruong.vn,Miền Trung - Tây Nguyên,Đắk Lắk,65000,-5000.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-8-3-2026-mot-tuan-giam-sau-d799741.html,
09/03/2026,nongnghiepmoitruong.vn,Miền Bắc,Bắc Ninh,63000,-1000.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-9-3-2026-tiep-tuc-da-di-xuong-d799845.html,
09/03/2026,nongnghiepmoitruong.vn,Miền Bắc,Cao Bằng,63000,-1000.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-9-3-2026-tiep-tuc-da-di-xuong-d799845.html,
09/03/2026,nongnghiepmoitruong.vn,Miền Bắc,Hà Nội,63000,-1000.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-9-3-2026-tiep-tuc-da-di-xuong-d799845.html,
09/03/2026,nongnghiepmoitruong.vn,Miền Bắc,Hưng Yên,62000,-1000.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-9-3-2026-tiep-tuc-da-di-xuong-d799845.html,
09/03/2026,nongnghiepmoitruong.vn,Miền Bắc,Hải Phòng,63000,0.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-9-3-2026-tiep-tuc-da-di-xuong-d799845.html,
09/03/2026,nongnghiepmoitruong.vn,Miền Bắc,Lai Châu,61000,0.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-9-3-2026-tiep-tuc-da-di-xuong-d799845.html,
09/03/2026,nongnghiepmoitruong.vn,Miền Bắc,Lào Cai,62000,0.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-9-3-2026-tiep-tuc-da-di-xuong-d799845.html,
